[1mBisection method[0m
Iterations       Absolute error 
  1         3.12500000000000000000 
  2         1.56250000000000000000 
  3         0.78125000000000000000 
  4         0.39062500000000000000 
  5         0.19531250000000000000 
  6         0.09765625000000000000 
  7         0.04882812500000000000 
  8         0.02441406250000000000 
  9         0.01220703125000000000 
 10         0.00610351562500000000 
 11         0.00305175781250000000 
 12         0.00152587890625000000 
 13         0.00076293945312500000 
 14         0.00038146972656250000 
 15         0.00019073486328125000 
 16         0.00009536743164062500 
 17         0.00004768371582031250 
 18         0.00002384185791015625 
 19         0.00001192092895507812 
 20         0.00000596046447753906 
 21         0.00000298023223876953 
 22         0.00000149011611938477 
 23         0.00000074505805969238 
